OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic,fm_senior,re_mat,re_num,re_lib_serves,re_type
1,Adair,Walmart Supercenter - Columbia,Grocery,"2988 Burkesville Rd, Columbia, KY 42728",270-384-4745,37.075592,-85.334465,24/7,https://www.walmart.com/store/569/columbia-ky/details,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
2,Adair,Save-a-Lot - Columbia,Grocery,"105 E Guardian St, Columbia, KY 42728",270-384-6689,37.101392,-85.307404,"Every day, 8-7",https://savealot.com/grocery-stores/columbia-42728-23323/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
3,Adair,IGA - Columbia,Grocery,"900 Jamestown St, Columbia, KY 42728",270-384-9374,37.094194,-85.304364,"Every day, 7-9",https://www.myiga.com/my-store/store-locator#!/?distance=10&q=42728,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A
4,Adair,Udell's Fruit Market,Produce Market,"301 Hudson St, Columbia, KY 42728",270-385-9129,37.100011,-85.31815,"Mon-Fri 9-6, Sat 9-3",N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
5,Adair,Farmers Market on the Square,Farmers Market,"105 Merchant St. Columbia, Kentucky 42728",270-634-2125,37.104172,-85.305921,Seasonal,https://www.facebook.com/fm2columbia/,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A
6,Adair,Adair County Farmers Market,Farmers Market,"409 Fairground Street, Columbia, KY 42728",270-384-2317,37.104644,-85.296736,Seaonal,https://www.kyagr.com/AgBusiness/7668,N/A,No,No,Yes,N/A,N/A,N/A,N/A
7,Adair,Adair County Recycling,Recycling Centers,64 Service Road Columbia KY 42728,270-378-0782,37.11653,-85.299465,"Mon-Fri 7-3, Sat 7-noon",http://adairwp.clerkinfo.net/?page_id=553,Call the Recycling Center If you would like to take a tour.,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, ST CANS, WHITE, ONP, ESCRAP, MRP, RUB",13,"Dropoff, other",Government facility
8,Adair,Blankenship Recycling,Recycling Centers,322 Parrott Avenue Columbia KY,270-634-4552,37.110648,-85.298147,N/A,N/A,Purchase scrap metal,N/A,N/A,N/A,"AL, FE, NONFE, ST CANS, WHITE",5,"Dropoff, broker",Commercial recycler
9,Adair,hwy 551 Scrap Metal,Recycling Centers,249 Piercy Rod Columbia KY 42728,270-384-8914,37.166989,-85.26852,N/A,N/A,N/A,N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, WHITE, UO, MRP",8,Dropoff,Commercial recycler
10,Adair,Pyles Demolition Recycling,Recycling Centers,221 Corporate Drive Columbia KY 42728,270-384-3478,37.077272,-85.33029,N/A,N/A,"Pyles Demolition Recycling provides dumpsters and services your recyling and waste management needs. Wrecking And Demolition Contractors, Excavation & Excavating Contractors",N/A,N/A,N/A,"AL, FE, NONFE, OCC, UO, MRP",6,"Dropoff, other",Commercial recycler
