OBJECTID,county,name,sector,address,phone,y,x,hours,website
16,Adair,Adair County Extension,extension office,"409 Fairground St. Columbia, KY 42728-0309",270-384-2317,37.104478,-85.296356,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://adair.ca.uky.edu/"">Click here to access their website</a>"
23,Bath,Bath County Extension,extension office,"2914 E Hwy 60 Owingsville, KY 40360-8815",606-674-6121,38.139417,-83.719961,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://bath.ca.uky.edu/"">Click here to access their website</a>"
40,Bell,Bell County Extension,extension office,"101 Courthouse Square Pineville, KY 40977-1635",606-337-2376,36.7620601,-83.6950678,"Mon-Fri 8-4:30, closed daily 12-12:30","<a href = ""http://bell.ca.uky.edu/"">Click here to access their website</a>"
65,Boyd,Boyd County Extension,extension office,"2420 Center Street Catletsburg, KY 41129-1279",606-739-5184,38.418348,-82.598082,Mon-Fri 8-4:30,"<a href = ""http://boyd.ca.uky.edu/"">Click here to access their website</a>"
79,Breathitt,Breathitt County Extension,extension office,"1155 Main St. Jackson, KY 41339",606-666-8812,37.554195,-83.38309,"Mon-Fri 8-4:30, closed daily from 12-1","<a href = ""http://breathitt.ca.uky.edu/"">Click here to access their website</a>"
94,Carter,Carter County Extension,extension office,"94 Fairground Dr Grayson, KY 41143-9520",606-474-6686,38.331952,-82.903752,Mon-Fri 8-4:30,"<a href = ""http://carter.ca.uky.edu/"">Click here to access their website</a>"
103,Casey,Casey County Extension,extension office,"1517 S. Wallace Wilkinson Blvd. Liberty, KY 42539-9805",606-787-7384,37.298426,-84.948841,"Mon-Fri 8-4:30, closed daily from 12-1","<a href = ""http://casey.ca.uky.edu/"">Click here to access their website</a>"
118,Clark,Clark County Extension,extension office,"1400 Fortune Drive Winchester, KY 40391-8292",859-744-4682,38.021198,-84.179057,Mon-Fri 8-4:30,"<a href = ""http://clark.ca.uky.edu/"">Click here to access their website</a>"
131,Clay,Clay County Extension,extension office,"69 Jameson Road Manchester, KY 40962-0421",606-598-2789,37.136403,-83.75981,Mon-Fri 8-4:30,"<a href = ""http://clay.ca.uky.edu/"">Click here to access their website</a>"
141,Clinton,Clinton County Extension,extension office,"2601 Business 127 North Albany, KY 42602",606-387-5404,36.722291,-85.13565,"Mon-Fri 7:30-4, closed daily 12-1","<a href = ""http://clinton.ca.uky.edu/"">Click here to access their website</a>"
153,Cumberland,Cumberland County Extension,extension office,"90 Smith Grove Road Burkesville, KY 42717-0039",270-433-7700,36.774577,-85.36112,"Mon-Fri 7:30-4, closed daily 12-1","<a href = ""cumberland.ca.uky.edu/"">Click here to access their website</a>"
161,Elliott,Elliott County Extension,extension office,"2944 S KY 7 Sandy Hook, KY 41171-0709",606-738-6400,38.067335,-83.164643,Mon-Fri 8-4:30,"<a href = ""http://elliott.ca.uky.edu/"">Click here to access their website</a>"
173,Estill,Estill County Extension,extension office,"76 Golden Court Irvine, KY 40336",606-723-4557,37.699596,-84.008125,Mon-Fri 8-4:30,"<a href = ""http://estill.ca.uky.edu/"">Click here to access their website</a>"
184,Fleming,Fleming County Extension,extension office,"1384 Elizaville Rd Flemingsburg, KY 41041-0192",606-845-4641,38.420911,-83.759437,"Mon - Fri 8:30-5, closed daily 12-1","<a href = ""http://fleming.ca.uky.edu/"">Click here to access their website</a>"
207,Floyd,Floyd County Extension,extension office,"3490 KY Route 321 Prestonsburg, KY 41653",606-845-4641,37.713796,-82.765515,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://floyd.ca.uky.edu/"">Click here to access their website</a>"
217,Garrard,Garrard County Extension,extension office,"1302 Stanford St. Lancaster, KY 40444-1238",859-792-3026,37.604147,-84.586075,Mon-Fri 8-4:30,"<a href = ""http://garrard.ca.uky.edu/"">Click here to access their website</a>"
224,Green,Green County Extension,extension office,"298 Happyville Road Greensburg, KY 42743",270-932-5311,37.275412,-85.510991,"Mon-Fri 7:30-4, closed daily 12-1","<a href = ""http://green.ca.uky.edu/"">Click here to access their website</a>"
233,Greenup,Greenup County Extension,extension office,"35 Wurtland Ave Wurtland, KY 41144",606-836-0201,38.552198,-82.789856,Mon-Fri 8-4:30,"<a href = ""http://greenup.ca.uky.edu/"">Click here to access their website</a>"
258,Harlan,Harlan County Extension,extension office,"519 South Main St. Harlan, KY 40831-1911",606-836-0201,36.843628,-83.322254,Mon-Fri 8-4:30,"<a href = ""http://harlan.ca.uky.edu/"">Click here to access their website</a>"
275,Jackson,Jackson County Extension,extension office,"1408 Main Street South McKee, KY 40447-0188",606-287-7693,37.430119,-84.009842,Mon-Fri 8-4:30,"<a href = ""http://jackson.ca.uky.edu/"">Click here to access their website</a>"
288,Johnson,Johnson County Extension,extension office,"826 F.M. Stafford Avenue Paintsville, KY 41240-1252",606-789-8108,37.808018,-82.797217,Mon-Fri 8-4:30,"<a href = ""http://johnson.ca.uky.edu/"">Click here to access their website</a>"
303,Knott,Knott County Extension,extension office,"149 Parks Branch Road Hindman, KY 41822-0462",606-789-8108,37.3224029,-82.9559529,"Mon-Fri 8-4:30, closed 12-1","<a href = ""http://knott.ca.uky.edu/"">Click here to access their website</a>"
320,Knox,Knox County Extension,extension office,"215 Treuhaft Boulevard, Suite 7 Barbourville, KY 40906",606-546-3447,36.850861,-83.865629,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://knox.ca.uky.edu/"">Click here to access their website</a>"
339,Laurel,Laurel County Extension,extension office,"200 County Extension Rd. London, KY 40741",606-864-4167,37.119805,-84.079359,Mon-Fri 8-4:30,"<a href = ""http://laurel.ca.uky.edu/"">Click here to access their website</a>"
