OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic,fm_senior
1,Adair,Udell's Fruit Market,produce Market,"301 Hudson St, Columbia, KY 42728",270-385-9129,37.100011,-85.31815,"Mon-Fri 9-6, Sat 9-3",N/A,N/A,Yes,Yes,N/A
2,Adair,Farmers Market on the Square,Farmers Market,"105 Merchant St. Columbia, Kentucky 42728",270-634-2125,37.104172,-85.305921,Seasonal,"<a href = ""https://www.facebook.com/fm2columbia/"">Click here to access their website</a>",N/A,No,Yes,N/A
3,Adair,Adair County Farmers Market,Farmers Market,"409 Fairground Street, Columbia, KY 42728",270-384-2317,37.104644,-85.296736,Seaonal,"<a href = ""https://www.kyagr.com/AgBusiness/7668"">Click here to access their website</a>",N/A,No,No,Yes
4,Bath,Bath County Farmer's Market,Farmers market,"2914 East Hwy 60 in Owingsville, Kentucky",606-336-0438,38.139189,-83.719727,Seasonal,"<a href = ""https://www.facebook.com/bathkyfarmersmarket/"">Click here to access their website</a>",N/A,N/A,N/A,N/A
5,Bell,Bell County Farmers Market,Farmers Market,"1915 Cumberland Avenue, Middlesboro, KY 40965",606-671-7677,36.607583,-83.712409,Seasonal,"<a href = ""https://www.facebook.com/mborofarmersmarketinsidecratercity/"">Click here to access their website</a>",N/A,No,No,Yes
6,Boyd,Boyd County Farmers' Market,Farmer's Market,"Kyova 10 Theatre at Kyova Mall 10699 US Route 60 Ashland, Kentucky 41102",606-739-5184,38.40114,-82.71471,Seasonal,"<a href = ""https://www.facebook.com/pages/Boyd-County-Farmers-Market/753180384812872"">Click here to access their website</a>",N/A,No,No,Yes
7,Breathitt,Coomer Produce,produce Market,"203 KY-15, Jackson, KY 41339",606-568-0964,37.558122,-83.379019,Everyday 9-5,"<a href = ""https://www.facebook.com/Coomerproduce/"">Click here to access their website</a>",N/A,No,No,N/A
8,Breathitt,Breathitt County Farmer's Market,Farmers' Market,"3215 Quicksand Rd Jackson, Kentucky 41339",606-666-8812,37.535879,-83.347957,Seasonal,"<a href = ""https://www.facebook.com/BreathittFarmersMarket/"">Click here to access their website</a>",N/A,No,No,Yes
9,Carter,Grayson Market,Farmers' Market,"94 Fairground Dr, Grayson KY 41143",606-474-6686,38.332203,-82.902964,Seasonal,"<a href = ""https://carter.ca.uky.edu/Farmer%27s%20Market"">Click here to access their website</a>",N/A,No,No,Yes
10,Carter,Olive Hill Market,Farmers' Market,"131 Jessica Ln, Olive Hill, KY 41164",606-474-6686,38.297666,-83.180985,Seasonal,"<a href = ""https://carter.ca.uky.edu/Farmer%27s%20Market"">Click here to access their website</a>",N/A,No,No,Yes
11,Casey,Casey County Farmers' Market,Farmer's Market,"518 Middleburg St, Liberty, KY 42539",N/A,37.317821,-84.938805,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Community/Casey-County-Farmers-Market-2001803176807837/"">Click here to access their website</a>",N/A,No,No,Yes
12,Clark,Beech Spring Farm Market,produce Market,"4776 Old Boonesboro Rd, Winchester, KY 40391",859-744-2868,37.944175,-84.226094,Seasonal,"<a href = ""http://www.beechspringsfarmmarket.com/"">Click here to access their website</a>",N/A,No,Yes,No
13,Clay,Highway Produce Market,produce Market,"Highway 421 N Manchester, Kentucky 40962",606-598-1804,37.137447,-83.768123,Seasonal,N/A,N/A,Yes,Yes,N/A
14,Clay,Pineview Farms,Farm,"174 State Hwy 1524, Manchester, KY 40962",606-598-5326,37.085614,-83.694523,Seasonal,N/A,N/A,No,No,N/A
15,Clay,Clay County Community Farmers' Market,Farmer's Market,"86 Muddy Gap Rd. Manchester, Kentucky 40962",606-598-2789,37.1398,-83.76943,Seasonal,"<a href = ""https://www.facebook.com/claycountycommunityfarmersmarket/"">Click here to access their website</a>",N/A,No,Yes,Yes
16,Clinton,Clinton County Farmers' Market,Farmers' Market,"19 Mountain View Park Way Albany, KY 42602",606-688-4337,36.715554,-85.136474,Seasonal,"<a href = ""https://www.clintoncoky.com/listing/clinton-county-farmers-market/"">Click here to access their website</a>",N/A,No,No,Yes
17,Cumberland,Burksville Farmers Market,Farmer's Market,"204 South Main Street Burkesville, Kentucky 42717",270-433-7400,36.715554,-85.136474,Seasonal,"<a href = ""https://www.facebook.com/cumberlandcountyfood/"">Click here to access their website</a>",N/A,Yes,Yes,Yes
18,Elliott,Elliott County Farmers Market,Farmer's Market,"2944 South Kentucky 7 Sandy Hook, KY 41171",606-738-6400,38.067075,-83.164341,Seasonal,"<a href = ""https://www.facebook.com/ElliottCountyFarmersMarkett/?fref=ts%2Fpath#anchor"">Click here to access their website</a>",N/A,No,No,Yes
19,Estill,Estill County Farmers' Market,Farmer's Market,"30 South Irvine Road, Irvine, KY 40336",606-726-0679,37.694176,-83.977737,Seasonal,"<a href = ""https://www.facebook.com/estillcountyfarmersmarket/"">Click here to access their website</a>",N/A,maybe this year,maybe,Yes
20,Fleming,Dinner Bell Country Market,produce Market,"1532 Maysville Rd, Flemingsburg, KY 41041",606-849-1919,38.442272,-83.741988,N/A,"<a href = ""https://www.facebook.com/TheDinnerBellCountryMarket/"">Click here to access their website</a>",N/A,No,Yes,N/A
21,Fleming,Fleming County Farmer's market,Farmer's Market,"1384 Elizaville Rd, Flemingsburg, KY 41041",606-845-4641,38.420921,-83.759612,Seasonal,N/A,located at the fleming county cooperative extension office parking lot https://www.facebook.com/flemingcountyfarmersmarket/,No,No,Yes
22,Floyd,Big O's Produce,produce Market,"600 US Highway 23 S Prestonsburg, Kentucky 41653",606-791-7041,37.641357,-82.756793,N/A,"<a href = ""https://www.facebook.com/pages/category/Local-Business/Big-Os-Produce-327331827840212/"">Click here to access their website</a>",N/A,No,No,N/A
23,Floyd,Farmer's Market,Farmer's Market,"361 N. Lake Drive Prestonsburg, Ky 41653",606-339-4424,37.675444,-82.778566,Seasonal,"<a href = ""https://www.facebook.com/Floydcfmarket/"">Click here to access their website</a>",Contact: Gary Gearheart. Located on the right hand corner https://www.facebook.com/Floydcfmarket/,"Yes, when we can get the machine to work....",No,Yes
24,Garrard,Sticky Wicket Farms,produce Market,"1544 High Bridge Rd, Lancaster, KY 40444",859-548-4517,37.769952,-84.673919,N/A,"<a href = ""https://stickywicketfarms.com/"">Click here to access their website</a>",N/A,No,No,N/A
25,Garrard,Garrard County Farmers Market,Farmer's Market,"117 Lexington St Lancaster, Kentucky 40444",859-339-2665,37.620534,-84.57872,Seasonal,"<a href = ""https://www.facebook.com/GarrardCFarmersM/"">Click here to access their website</a>",N/A,No,No,Yes
26,Greenup,Greenup County Farmers Market,Farmers Market,"Advance Memorial United Methodist Church  1007 Bellefonte Road Flatwoods, KY 41139",606-836-0201,38.515108,-82.720325,Seasonal,"<a href = ""https://www.facebook.com/Greenup-County-Farmers-Market-552621841925051/"">Click here to access their website</a>",N/A,No,No,Yes
27,Harlan,Apple Tree,produce Market,"21991 US-119, Cumberland, KY 40823",606-589-5735,36.991243,-82.943601,N/A,N/A,N/A,No,No,N/A
28,Harlan,Harlan County Farmers Market,Farmers Market,"201 S. Main St Harlan, Kentucky 40831",606-505-6069,36.845965,-83.322726,Seasonal,"<a href = ""https://www.facebook.com/harlancountyfarmersmarket/"">Click here to access their website</a>",N/A,No,No,Yes
29,Jackson,Jackson County Farmers Market (Bond Memorial Park),Farmer's Market (Friday),"US-421, McKee, KY 40447",606-287-7693,37.504242,-84.174524,Seasonal,"<a href = ""https://jackson.ca.uky.edu/content/jackson-county-farmers-market"">Click here to access their website</a>",N/A,Yes,yes,yes
30,Jackson,Jackson County Regional Food Center,Farmer's Market (Monday),"366 State Hwy 3443, Tyner, KY 40486",606-364-3436,37.73145,-84.275559,Seasonal,"<a href = ""https://www.facebook.com/JacksonCountyRegionalFoodCenter/"">Click here to access their website</a>",N/A,yes,yes,yes
31,Johnson,Davis Produce,produce Market,"7330 KY-321, Hagerhill, KY 41222",606-789-5264,37.755022,-82.77757,"Mon-Fri 7-8, Sat 7-7, Sun 8:30-6","<a href = ""https://www.facebook.com/davis.produce/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
