OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic,fm_senior
1,Adair,Walmart Supercenter,Grocery,"2988 Burkesville Rd, Columbia, KY 42728",270-384-4745,37.075592,-85.334465,24/7,"<a href = ""https://www.walmart.com/store/569/columbia-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
2,Adair,Save-a-Lot,Grocery,"105 E Guardian St, Columbia, KY 42728",270-384-6689,37.101392,-85.307404,"Every day, 8-7","<a href = ""https://savealot.com/grocery-stores/columbia-42728-23323/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
3,Adair,IGA,Grocery,"900 Jamestown St, Columbia, KY 42728",270-384-9374,37.094194,-85.304364,"Every day, 7-9","<a href = ""https://www.myiga.com/my-store/store-locator#!/?distance=10&q=42728"">Click here to access their website</a>",N/A,Yes,No,N/A
4,Bath,Save-a-Lot,Grocery,"78 Creek Side Dr, Owingsville, KY 40360",606-674-9343,38.125215,-83.747512,"Mon-Sat 8-8, Sun 12-6","<a href = ""https://savealot.com/grocery-stores/owingsville-40360-24908/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
5,Bell,Kroger,Grocery,"515 N 12th St, Middlesboro, KY 40965",606-248-3410,36.614314,-83.70408,"Mon-Sat 7-midnight, Sun 8-10","<a href = ""https://www.kroger.com/stores/details/024/00355?cid=loc_02400355_gmb"">Click here to access their website</a>",N/A,Yes,Yes,N/A
6,Bell,Save-a-Lot,Grocery,"622 US-119, Pineville, KY 40977",606-337-5558,36.744747,-83.683224,"Everyday, 8-9","<a href = ""https://savealot.com/grocery-stores/pineville-40977-24467/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
7,Bell,Food City,Grocery,"110 11th St, Middlesboro, KY 40965",606-248-0987,36.609105,-83.700741,"Everyday, 6-midnight","<a href = ""https://www.foodcity.com/stores/store-details/428/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=428"">Click here to access their website</a>",N/A,Yes,Yes,N/A
8,Bell,Walmart Supercenter,Grocery,"Us Hwy 441, US-25E Scenic, Middlesboro, KY 40965",606-248-9087,36.609105,-83.700741,24/7,"<a href = ""https://www.walmart.com/store/739/middlesboro-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
9,Bell,Save-a-Lot,Grocery,"415 Dansbury Ave, Middlesboro, KY 40965",606-248-0380,36.61362,-83.706107,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/middlesboro-40965-24471/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
10,Bell,Long's Pic Pac,Grocery,"134 Pine St, Pineville, KY 40977",606-337-3411,36.76334,-83.694297,"Mon-Sat 7-10, Sun 9-9","<a href = ""https://longspicpac.com/circular"">Click here to access their website</a>",N/A,Yes,Yes,N/A
11,Boyd,Aldi,Grocery,"130 Russell Rd, Ashland, KY 41101",855-955-2534,38.493635,-82.668501,"Mon-Fri, 9-9, Sat-Sun 9-8","<a href = ""https://www.aldi.us/en/"">Click here to access their website</a>",N/A,Yes,No,N/A
12,Boyd,Walmart Supercenter,Grocery,"12504 US-60, Ashland, KY 41102",606-929-9510,38.388509,-82.711228,24/7,"<a href = ""https://www.walmart.com/store/2638/ashland-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
13,Boyd,Save-a-Lot,Grocery,"5850 US Route 60 Summit Plaza, Ashland, KY 41102",606-928-2318,38.436991,-82.685422,"Mon-Sat 9-9, Sun 11-7","<a href = ""https://savealot.com/grocery-stores/ashland-41102-23823/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
14,Boyd,Wamart Supercenter,Grocery,"351 River Hill Dr, Ashland, KY 41101",606-329-0012,38.485726,-82.658322,24/7,"<a href = ""https://www.walmart.com/store/1426/ashland-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
15,Boyd,Kroger,Grocery,"711 12th St, Ashland, KY 41101",606-325-8231,38.477626,-82.649695,"Everday, 6-midnight","<a href = ""https://www.kroger.com/stores/details/029/00783?cid=loc_02900783_gmb"">Click here to access their website</a>",N/A,Yes,Yes,N/A
16,Boyd,Kroger,Grocery,"370 Diederich Blvd, Ashland, KY 41101",606-325-8911,38.477626,-82.649695,Everday 6-midnight,"<a href = ""https://www.kroger.com/stores/details/029/00796?cid=loc_02900796_gmb"">Click here to access their website</a>",N/A,Yes,Yes,N/A
17,Boyd,Ashland Food Fair,Grocery,"291 Blackburn Ave, Ashland, KY 41101",606-329-2111,38.477626,-82.649695,Everyday 7-10,"<a href = ""http://foodfairmarkets.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
18,Boyd,Hilltop Market,Grocery,"3466 13th St, Ashland, KY 41102",606-324-4624,38.455489,-82.66894,Mon-Sat 9-6,"<a href = ""https://www.facebook.com/ArtripsHilltopMarket"">Click here to access their website</a>",N/A,No,Yes,N/A
19,Breathitt,Save-a-Lot,Grocery,"1471 KY-15, Jackson, KY 41339",606-666-9451,37.568826,-83.401118,Everday 8-9,"<a href = ""https://savealot.com/grocery-stores/jackson-41339-24740/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
20,Breathitt,Jackson IGA,Grocery,"723 KY-15, Jackson, KY 41339",606-666-8188,37.550963,-83.358781,"Mon-Sat 8-9, Sun 9-9","<a href = ""https://www.jacksoniga.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
21,Breathitt,Jiffy Mart,Grocery,"800 KY-15, Jackson, KY 41339",606-666-5986,37.557616,-83.367225,"Mon-Sat 6-10, Sun 6:30-10","<a href = ""http://www.jiffymartstores.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
22,Carter,Save-a-Lot,Grocery,"131 Jessica Ln, Olive Hill, KY 41164",606-286-5053,38.297666,-83.180985,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/olive-hill-41164-24863/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
23,Carter,Ralph's Food Fair,Grocery,"630 Carol Malone Blvd, Grayson, KY 41143",606-474-5522,38.33935,-82.942182,Everyday 7-10,"<a href = ""http://www.foodfairmarkets.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
24,Carter,Save-a-Lot,Grocery,"584 KY-1947, Grayson, KY 41143",606-474-6003,38.344797,-82.949568,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/grayson-41143-23820/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
25,Casey,IGA,Grocery,"150 Liberty Sq. Shopping Center, Liberty, KY 42539",606-787-6262,37.318457,-84.927906,"Mon-Sat 6-9, Sun 7-9","<a href = ""https://www.libertyiga.com/"">Click here to access their website</a>",N/A,Yes,No,N/A
26,Casey,Casey County Discount Marketplace,Grocery,"1190 KY-910, Liberty, KY 42539",606-787-0957,37.198444,-84.949385,"Mon-Thurs 8-7, Fri 8-5, Sun 8-6","<a href = ""https://www.caseydiscount.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
27,Casey,Lavern's Country Market,Grocery,"5 S Fork Creek Rd, Liberty, KY 42539",606-787-9845,37.196415,-84.948339,Mon-Sat 8-5,"<a href = ""https://www.facebook.com/pages/Laverns-Country-Market/687037444730128"">Click here to access their website</a>",N/A,Yes,Yes,N/A
28,Casey,Save-a-Lot,Grocery,"675 N Wallace Wilkinson Blvd, Liberty, KY 42539",606-787-8562,37.32321,-84.925704,"Mon-Sat 7:30-8, Sun 10-8","<a href = ""https://savealot.com/grocery-stores/liberty-42539-24678/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
29,Clark,Kroger,Grocery,"1661 Bypass Rd, KY-1958, Winchester, KY 40391",859-745-4959,37.99432,-84.217801,Everday 6-midnight,"<a href = ""https://www.kroger.com/stores/details/024/00402?cid=loc_02400402_gmb"">Click here to access their website</a>",N/A,Yes,Yes,N/A
30,Clark,Save-a-Lot,Grocery,"755 Ecton Rd, Winchester, KY 40391",859-744-6259,38.002162,-84.151344,Everyday 9-9,"<a href = ""https://savealot.com/grocery-stores/winchester-40391-24651/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
31,Clark,Walmart Supercenter,Grocery,"1859 Bypass Rd, Winchester, KY 40391",859-744-5070,37.988008,-84.210716,24/7,"<a href = ""https://www.walmart.com/store/702/winchester-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
32,Clark,South Main Grocery Store,Grocery,"385 S Main St, Winchester, KY 40391",859-744-8268,37.984268,-84.181357,Mon-Sat 9-7,"<a href = ""https://south-main-grocery.hub.biz/?fbclid=IwAR39-4hTCMwsaaE_qR70HqVHQaeRaw5umJgsj8onaMxg8HauXlL0SiHiLgY"">Click here to access their website</a>",N/A,Yes,No,N/A
33,Clay,Walmart,Grocery,"240 Manchester Square Shpg Center, Manchester, KY 40962",606-598-6123,37.140824,-83.772833,"Everyday, 6-11pm","<a href = ""https://www.walmart.com/store/545/manchester-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
34,Clay,Manchester IGA #1,Grocery,"414 Manchester Square, Manchester, KY 40962",606-598-6232,37.138297,-83.775499,"Mon-Sat 7-9, Sun 9-9","<a href = ""https://manchesteriga1.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
35,Clay,Save-a-Lot,Grocery,"120 Garrard Square, Garrard, KY 40921",606-598-0041,37.118853,-83.741236,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/garrard-40921-23697/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
36,Clay,Save-a-Lot,Grocery,4833 US 421 Fall Rock KY 40932,606-598-3057,37.214932,-83.787049,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/fall-rock-40932-23331/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
37,Clinton,IGA,Grocery,"120 Westview Shopping Center, Albany, KY 42602",606-387-5117,36.69894,-85.143803,"Mon-Thurs 7-8, Friday, Sat 7-9, Sun 7-8","<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,Yes,No,N/A
38,Clinton,Save-a-Lot,Grocery,"415 Burkesville Rd, Albany, KY 42602",606-387-8034,36.696793,-85.141252,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/albany-42602-23469/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
39,Cumberland,IGA,Grocery,"116 Keen St, Burkesville, KY 42717",270-864-2234,36.784193,-85.373069,"Mon-Thurs 7-8, Friday, Sat 7-9, Sun 7-8","<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,No,No,N/A
40,Cumberland,Kountry Kitchen Store,Grocery,"8459 Glasgow Rd, Burkesville, KY 42717",270-864-9200,36.830672,-85.492428,"Tues-Fri 8-5, Sat 8-4","<a href = ""kountrykitchenstore.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
41,Elliott,Save-a-Lot,Grocery,"1930 N, KY-7, Sandy Hook, KY 41171",606-738-6968,38.109284,-83.11457,"Everyday, 8-9","<a href = ""https://savealot.com/grocery-stores/sandy-hook-41171-45149/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
42,Estill,Price Less Foods,Grocery,"1012 Winchester Rd, Irvine, KY 40336",606-723-5338,37.71242,-83.97595,Everyday 8-9,"<a href = ""https://www.mypricelessfoods.com/"">Click here to access their website</a>",N/A,yes,Yes,N/A
43,Estill,Save-a-Lot,Grocery,"1290 Richmond Rd, Irvine, KY 40336",606-723-6372,37.699971,-83.993775,"Mon-Fri 8-9, Sat 8-10, Sun 8-9","<a href = ""https://savealot.com/grocery-stores/irvine-40336-24650/"">Click here to access their website</a>",N/A,yes,Yes,N/A
44,Fleming,Save-a-Lot,Grocery,"201 S Main Cross St, Flemingsburg, KY 41041",606-845-0647,38.421209,-83.734411,Everyday 9-9,"<a href = ""https://savealot.com/grocery-stores/flemingsburg-41041-24147/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
45,Fleming,Dollar General,Grocery,"112 Clark St., Flemingsburg, KY 41041",937-795-4560,38.41866,-83.735902,Everyday 7-11pm,"<a href = ""https://www.dollargeneral.com/"">Click here to access their website</a>https://www.dollargeneral.com/",N/A,Yes,Yes,N/A
46,Fleming,Ken's Fresh Foods,Grocery,"110 Clark St, Flemingsburg, KY 41041",606-849-2366,38.418104,-83.737131,Everyday 7-9,"<a href = ""https://www.kensfreshfoods.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
47,Floyd,McDowell IGA,Grocery,"9623 KY-122, McDowell, KY 41647",606-377-6911,37.458511,-82.749136,"Mon-Sat 7-10, Sun 9-9","<a href = ""https://mcdowelliga.net/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
48,Floyd,Martin IGA,Grocery,"12405 Main St, Martin, KY 41649",606-285-3932,37.564116,-82.758651,"Mon-Sat 7-9, Sun 8-9","<a href = ""https://martiniga.net/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
