OBJECTID,county,name,sector,address,phone,y,x,hours,website,fm_senior
3,Adair,Adair County Farmers Market,Farmers Market,"409 Fairground Street, Columbia, KY 42728",270-384-2317,37.104644,-85.296736,Seaonal,"<a href = ""https://www.kyagr.com/AgBusiness/7668"">Click here to access their website</a>",Yes
5,Bell,Bell County Farmers Market,Farmers Market,"1915 Cumberland Avenue, Middlesboro, KY 40965",606-671-7677,36.607583,-83.712409,Seasonal,"<a href = ""https://www.facebook.com/mborofarmersmarketinsidecratercity/"">Click here to access their website</a>",Yes
6,Boyd,Boyd County Farmers' Market,Farmer's Market,"Kyova 10 Theatre at Kyova Mall 10699 US Route 60 Ashland, Kentucky 41102",606-739-5184,38.40114,-82.71471,Seasonal,"<a href = ""https://www.facebook.com/pages/Boyd-County-Farmers-Market/753180384812872"">Click here to access their website</a>",Yes
8,Breathitt,Breathitt County Farmer's Market,Farmers' Market,"3215 Quicksand Rd Jackson, Kentucky 41339",606-666-8812,37.535879,-83.347957,Seasonal,"<a href = ""https://www.facebook.com/BreathittFarmersMarket/"">Click here to access their website</a>",Yes
9,Carter,Grayson Market,Farmers' Market,"94 Fairground Dr, Grayson KY 41143",606-474-6686,38.332203,-82.902964,Seasonal,"<a href = ""https://carter.ca.uky.edu/Farmer%27s%20Market"">Click here to access their website</a>",Yes
10,Carter,Olive Hill Market,Farmers' Market,"131 Jessica Ln, Olive Hill, KY 41164",606-474-6686,38.297666,-83.180985,Seasonal,"<a href = ""https://carter.ca.uky.edu/Farmer%27s%20Market"">Click here to access their website</a>",Yes
11,Casey,Casey County Farmers' Market,Farmer's Market,"518 Middleburg St, Liberty, KY 42539",N/A,37.317821,-84.938805,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Community/Casey-County-Farmers-Market-2001803176807837/"">Click here to access their website</a>",Yes
15,Clay,Clay County Community Farmers' Market,Farmer's Market,"86 Muddy Gap Rd. Manchester, Kentucky 40962",606-598-2789,37.1398,-83.76943,Seasonal,"<a href = ""https://www.facebook.com/claycountycommunityfarmersmarket/"">Click here to access their website</a>",Yes
16,Clinton,Clinton County Farmers' Market,Farmers' Market,"19 Mountain View Park Way Albany, KY 42602",606-688-4337,36.715554,-85.136474,Seasonal,"<a href = ""https://www.clintoncoky.com/listing/clinton-county-farmers-market/"">Click here to access their website</a>",Yes
17,Cumberland,Burksville Farmers Market,Farmer's Market,"204 South Main Street Burkesville, Kentucky 42717",270-433-7400,36.715554,-85.136474,Seasonal,"<a href = ""https://www.facebook.com/cumberlandcountyfood/"">Click here to access their website</a>",Yes
