OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic
1,Adair,Walmart Supercenter,Grocery,"2988 Burkesville Rd, Columbia, KY 42728",270-384-4745,37.075592,-85.334465,24/7,"<a href = ""https://www.walmart.com/store/569/columbia-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
2,Adair,Save-a-Lot,Grocery,"105 E Guardian St, Columbia, KY 42728",270-384-6689,37.101392,-85.307404,"Every day, 8-7","<a href = ""https://savealot.com/grocery-stores/columbia-42728-23323/"">Click here to access their website</a>",N/A,Yes,Yes
3,Adair,IGA,Grocery,"900 Jamestown St, Columbia, KY 42728",270-384-9374,37.094194,-85.304364,"Every day, 7-9","<a href = ""https://www.myiga.com/my-store/store-locator#!/?distance=10&q=42728"">Click here to access their website</a>",N/A,Yes,No
4,Bath,Save-a-Lot,Grocery,"78 Creek Side Dr, Owingsville, KY 40360",606-674-9343,38.125215,-83.747512,"Mon-Sat 8-8, Sun 12-6","<a href = ""https://savealot.com/grocery-stores/owingsville-40360-24908/"">Click here to access their website</a>",N/A,Yes,Yes
5,Bell,Kroger,Grocery,"515 N 12th St, Middlesboro, KY 40965",606-248-3410,36.614314,-83.70408,"Mon-Sat 7-midnight, Sun 8-10","<a href = ""https://www.kroger.com/stores/details/024/00355?cid=loc_02400355_gmb"">Click here to access their website</a>",N/A,Yes,Yes
6,Bell,Save-a-Lot,Grocery,,606-337-5558,36.744747,-83.683224,"Everyday, 8-9","<a href = ""https://savealot.com/grocery-stores/pineville-40977-24467/"">Click here to access their website</a>",N/A,Yes,Yes
7,Bell,Food City,Grocery,"110 11th St, Middlesboro, KY 40965",606-248-0987,36.609105,-83.700741,"Everyday, 6-midnight","<a href = ""https://www.foodcity.com/stores/store-details/428/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=428"">Click here to access their website</a>",N/A,Yes,Yes
8,Bell,Walmart Supercenter,Grocery,"Us Hwy 441, US-25E Scenic, Middlesboro, KY 40965",606-248-9087,36.609105,-83.700741,24/7,"<a href = ""https://www.walmart.com/store/739/middlesboro-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
9,Bell,Save-a-Lot,Grocery,"415 Dansbury Ave, Middlesboro, KY 40965",606-248-0380,36.61362,-83.706107,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/middlesboro-40965-24471/"">Click here to access their website</a>",N/A,Yes,Yes
10,Bell,Long's Pic Pac,Grocery,"134 Pine St, Pineville, KY 40977",606-337-3411,36.76334,-83.694297,"Mon-Sat 7-10, Sun 9-9","<a href = ""https://longspicpac.com/circular"">Click here to access their website</a>",N/A,Yes,Yes
