OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,free_wifi,com_access,bookmobile,meeting_rooms,e_audio,test_prep
15,Adair,Adair County Public Library,library,"307 Greensburg Street Columbia, KY 42728-1488",270-384-2472,37.104544,-85.308156,"Mon - Wed 8-5, Thurs 9-6, Fri 8-5, Sat 8-noon","<a href = ""http://adaircountypubliclibrary.com"">Click here to access their website</a>",Free computer usage and free WiFi,Yes,Yes,N/A,N/A,N/A,N/A
21,Bath,Bath County Memorial Library,library,"24 West Main Street, P.O. Box 380 Owingsville, KY 40360-2015",606-674-2531,38.144855,-83.764481,Mon-Sat 9:30-5:30,"<a href = ""https://www.bathlibrary.org/"">Click here to access their website</a>","Help with test, resumes & more. Free computer access and digital resources. Room rentals.",Yes,Yes,N/A,Yes,Yes,Yes
22,Bath,Sharpsburg Branch Library,library,"7781 West Tunnel Hill Road Sharpsburg, KY 40374",606-247-2100,38.199676,-83.927013,Mon-Sat 9:30-5:30,"<a href = ""https://www.bathlibrary.org/"">Click here to access their website</a>",N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,Bell,Middlesboro- Bell County Public Library,library,"126 South 20th Street P.O. Box 1677 Middlesboro, KY 40965-3677",606-248-4812,36.606287,-83.714346,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes,Yes,Yes,Yes,Yes,N/A
39,Bell,Pineville Public Library,library,"214 Walnut Street, P.O. Box 1490 Pineville KY 40977-1490",606-337-3422,36.760734,-83.696553,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",N/A,Yes,N/A,Yes,Yes,N/A
62,Boyd,Boyd County Public Library,library,1740 Central Avenue Ashland KY 41101-7653,606-329-0090,38.47552,-82.639818,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.thebookplace.org/"">Click here to access their website</a>","Free WiFi, meeting room rentals, Book club",Yes,N/A,N/A,Yes,N/A,N/A
63,Boyd,Catlettsburg Branch Library,library,2704 Louisa Street Catlettsburg KY 41129-1114,606-739-8332,38.416453,-82.598136,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.thebookplace.org/"">Click here to access their website</a>","Free WiFi, meeting room rentals, Book club",Yes,N/A,N/A,Yes,N/A,N/A
64,Boyd,Kyova Branch Library,library,"10699 US Route 60, Suite 920 Ashland KY 41102",606-929-5346,38.401561,-82.714304,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.thebookplace.org/"">Click here to access their website</a>","Free WiFi, meeting room rentals, Book club",Yes,N/A,N/A,Yes,N/A,N/A
78,Breathitt,Breathitt County Public Library,library,"1024 College Avenue Jackson, KY 41339-1016",606-666-5541,37.553284,-83.383306,"Mon-Fri 8-5, Sat 9-4","<a href = ""http://www.breathittcountylibrary.com/"">Click here to access their website</a>","Free computer access, free WiFI, meeting rooms, expanded children's area",Yes,Yes,N/A,Yes,N/A,N/A
92,Carter,Carter County Public Library,library,116 West Main Street Grayson KY 41143-6465,606-475-1528,38.332888,-82.949118,Tues-Sat 10:30-4:30,"<a href = ""http://www.cartercountypubliclibrary.info/"">Click here to access their website</a>",Carter County Genealogy,N/A,N/A,N/A,N/A,N/A,N/A
93,Carter,Olive Hill Branch Library,library,120 Comet Drive Olive Hill KY 41164,606-286-8070,38.303418,-83.1728,Tues-Sat 10:30-4:30,"<a href = ""http://www.cartercountypubliclibrary.info/"">Click here to access their website</a>",Carter County Genealogy,N/A,N/A,N/A,N/A,N/A,N/A
102,Casey,Casey County Public Library,library,"238 Middlesburg Street Liberty, KY 42539-3002",606-787-9381,37.316471,-84.935906,"Mon-Fri 9-6, Sat 9-3","<a href = ""http://www.caseylibrary.org"">Click here to access their website</a>","Free classes, Free WiFi, free ebooks",Yes,N/A,N/A,N/A,Yes,N/A
117,Clark,Clark County Public Library,library,370 South Burns Avenue Winchester KY 40391-1876,859-744-5661,37.988408,-84.18845,"Mon-Thurs 9-8, Fri 9-5:30, Sat 9-5pm, Sun 1-5","<a href = ""http://www.clarkbooks.org"">Click here to access their website</a>","Hoopla ebooks, job help, youth services",N/A,N/A,N/A,N/A,Yes,N/A
130,Clay,Clay County Public Library,library,211 Bridge Street Manchester KY 40962-1203,606-598-2617,37.154081,-83.761274,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Fri 9-5, Sat 9-1","<a href = ""http://www.claycountylibrary.org/"">Click here to access their website</a>","Free computer access, free community room, bookmobile, ebooks, online test prep, free classes",Yes,Yes,Yes,N/A,Yes,Yes
140,Clinton,Clinton County Public Library,library,"302 King Drive Albany, KY 42602-1603",606-387-5989,36.710746,-85.13553,"Mon 8-5, Tues 8-6:30, Wed 8-5, Fri 8-5, Sat 8-noon","<a href = ""http://clintoncountypubliclibrary.org"">Click here to access their website</a>",N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,Cumberland,Cumberland County Public Library,library,"114 Hill Street P.O. Box 440 Burkesville, KY 42717-0440",270-864-2207,36.790841,-85.371266,"Mon-Fri,8:30-4:50, Sat 8:30-11:50","<a href = ""http://cumberlandcountylibrary.org"">Click here to access their website</a>","Free computer access, free WiFi, bookmobile, genealogy resources, printing services",Yes,Yes,Yes,N/A,N/A,N/A
