OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,bookmobile
38,Bell,Middlesboro- Bell County Public Library,library,"126 South 20th Street P.O. Box 1677 Middlesboro, KY 40965-3677",606-248-4812,36.606287,-83.714346,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
130,Clay,Clay County Public Library,library,211 Bridge Street Manchester KY 40962-1203,606-598-2617,37.154081,-83.761274,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Fri 9-5, Sat 9-1","<a href = ""http://www.claycountylibrary.org/"">Click here to access their website</a>","Free computer access, free community room, bookmobile, ebooks, online test prep, free classes",Yes
152,Cumberland,Cumberland County Public Library,library,"114 Hill Street P.O. Box 440 Burkesville, KY 42717-0440",270-864-2207,36.790841,-85.371266,"Mon-Fri,8:30-4:50, Sat 8:30-11:50","<a href = ""http://cumberlandcountylibrary.org"">Click here to access their website</a>","Free computer access, free WiFi, bookmobile, genealogy resources, printing services",Yes
172,Estill,Estill County Public Library,library,"246 Main Street Irvine, KY 40336-1099",606-723-3030,37.702929,-83.974995,"Mon-Fri 10-6, Sat 10-3","<a href = ""https://estillpublib.org/"">Click here to access their website</a>","Free computer access, free WiFi, free notary services, printing services, bookmobile, computer classes",Yes
183,Fleming,Fleming County Public Library,library,"202 Bypass Boulevard Flemingsburg, KY 410141-1298",606-845-7851,38.41654,-83.751438,"Mon 8-6, Tues 8-8, Mon 8-6, Thurs 8-8, Fri 8-5, Sat 8-3","<a href = ""http://www.youseemore.com/fleming"">Click here to access their website</a>","ebooks, bookmobile, children services, book clubs",Yes
205,Floyd,Floyd County Public Library,library,161 North Arnold Avenue Prestonsburg KY 41653-1269,606-886-2981,37.668148,-82.774891,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes
206,Floyd,Eastern Branch Library,library,"10983 KY Route 80 Eastern, KY 41622",606-377-2860,37.506349,-82.814515,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes
230,Greenup,Flatwoods Branch Library,library,1705 Argillite Road Flatwoods KY 41139,606-836-3771,38.524198,-82.716311,"Mon-Tues 10-8, Wed 10-5, Thurs 10-8, Fri-Sat 10-5","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
231,Greenup,Greenup County Public Library,library,"508 Main Street Greenup, KY 41144",606-473-6514,38.576868,-82.835767,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Sat 9-2","<a href = ""http://www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
232,Greenup,McKell Branch Library,library,"22 McKell Lane South Shore, KY 41175",606-932-4478,38.723388,-82.946916,"Mon 9-8, Tues-Fri 9-5, Sat 9-2","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
