OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,e_audio
21,Bath,Bath County Memorial Library,library,"24 West Main Street, P.O. Box 380 Owingsville, KY 40360-2015",606-674-2531,38.144855,-83.764481,Mon-Sat 9:30-5:30,"<a href = ""https://www.bathlibrary.org/"">Click here to access their website</a>","Help with test, resumes & more. Free computer access and digital resources. Room rentals.",Yes
38,Bell,Middlesboro- Bell County Public Library,library,"126 South 20th Street P.O. Box 1677 Middlesboro, KY 40965-3677",606-248-4812,36.606287,-83.714346,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
39,Bell,Pineville Public Library,library,"214 Walnut Street, P.O. Box 1490 Pineville KY 40977-1490",606-337-3422,36.760734,-83.696553,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
102,Casey,Casey County Public Library,library,"238 Middlesburg Street Liberty, KY 42539-3002",606-787-9381,37.316471,-84.935906,"Mon-Fri 9-6, Sat 9-3","<a href = ""http://www.caseylibrary.org"">Click here to access their website</a>","Free classes, Free WiFi, free ebooks",Yes
117,Clark,Clark County Public Library,library,370 South Burns Avenue Winchester KY 40391-1876,859-744-5661,37.988408,-84.18845,"Mon-Thurs 9-8, Fri 9-5:30, Sat 9-5pm, Sun 1-5","<a href = ""http://www.clarkbooks.org"">Click here to access their website</a>","Hoopla ebooks, job help, youth services",Yes
130,Clay,Clay County Public Library,library,211 Bridge Street Manchester KY 40962-1203,606-598-2617,37.154081,-83.761274,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Fri 9-5, Sat 9-1","<a href = ""http://www.claycountylibrary.org/"">Click here to access their website</a>","Free computer access, free community room, bookmobile, ebooks, online test prep, free classes",Yes
160,Elliott,Rocky J. Adkins Public Library,library,"207 S KY-7 P.O. 750 Sandy Hook, KY 41171-0750",606-738-5796,38.089746,-83.126258,Mon-Frid 8:30-5,"<a href = ""https://www.facebook.com/ECPLRocks/"">Click here to access their website</a>",Ebooks,Yes
183,Fleming,Fleming County Public Library,library,"202 Bypass Boulevard Flemingsburg, KY 410141-1298",606-845-7851,38.41654,-83.751438,"Mon 8-6, Tues 8-8, Mon 8-6, Thurs 8-8, Fri 8-5, Sat 8-3","<a href = ""http://www.youseemore.com/fleming"">Click here to access their website</a>","ebooks, bookmobile, children services, book clubs",Yes
230,Greenup,Flatwoods Branch Library,library,1705 Argillite Road Flatwoods KY 41139,606-836-3771,38.524198,-82.716311,"Mon-Tues 10-8, Wed 10-5, Thurs 10-8, Fri-Sat 10-5","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
231,Greenup,Greenup County Public Library,library,"508 Main Street Greenup, KY 41144",606-473-6514,38.576868,-82.835767,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Sat 9-2","<a href = ""http://www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",Yes
