OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,meeting_rooms
21,Bath,Bath County Memorial Library,library,"24 West Main Street, P.O. Box 380 Owingsville, KY 40360-2015",606-674-2531,38.144855,-83.764481,Mon-Sat 9:30-5:30,"<a href = ""https://www.bathlibrary.org/"">Click here to access their website</a>","Help with test, resumes & more. Free computer access and digital resources. Room rentals.",Yes
38,Bell,Middlesboro- Bell County Public Library,library,"126 South 20th Street P.O. Box 1677 Middlesboro, KY 40965-3677",606-248-4812,36.606287,-83.714346,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
39,Bell,Pineville Public Library,library,"214 Walnut Street, P.O. Box 1490 Pineville KY 40977-1490",606-337-3422,36.760734,-83.696553,"Mon-Fri 9-6, Sat 10-4","<a href = ""http://www.bellcpl.org/"">Click here to access their website</a>","Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",Yes
62,Boyd,Boyd County Public Library,library,1740 Central Avenue Ashland KY 41101-7653,606-329-0090,38.47552,-82.639818,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.thebookplace.org/"">Click here to access their website</a>","Free WiFi, meeting room rentals, Book club",Yes
63,Boyd,Catlettsburg Branch Library,library,2704 Louisa Street Catlettsburg KY 41129-1114,606-739-8332,38.416453,-82.598136,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.thebookplace.org/"">Click here to access their website</a>","Free WiFi, meeting room rentals, Book club",Yes
64,Boyd,Kyova Branch Library,library,"10699 US Route 60, Suite 920 Ashland KY 41102",606-929-5346,38.401561,-82.714304,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.thebookplace.org/"">Click here to access their website</a>","Free WiFi, meeting room rentals, Book club",Yes
78,Breathitt,Breathitt County Public Library,library,"1024 College Avenue Jackson, KY 41339-1016",606-666-5541,37.553284,-83.383306,"Mon-Fri 8-5, Sat 9-4","<a href = ""http://www.breathittcountylibrary.com/"">Click here to access their website</a>","Free computer access, free WiFI, meeting rooms, expanded children's area",Yes
183,Fleming,Fleming County Public Library,library,"202 Bypass Boulevard Flemingsburg, KY 410141-1298",606-845-7851,38.41654,-83.751438,"Mon 8-6, Tues 8-8, Mon 8-6, Thurs 8-8, Fri 8-5, Sat 8-3","<a href = ""http://www.youseemore.com/fleming"">Click here to access their website</a>","ebooks, bookmobile, children services, book clubs",Yes
205,Floyd,Floyd County Public Library,library,161 North Arnold Avenue Prestonsburg KY 41653-1269,606-886-2981,37.668148,-82.774891,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes
206,Floyd,Eastern Branch Library,library,"10983 KY Route 80 Eastern, KY 41622",606-377-2860,37.506349,-82.814515,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes
