OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,re_mat,re_num,FE
7,Adair,Adair County Recycling,Recycling centers,64 Service Road Columbia KY 42728,270-378-0782,37.11653,-85.299465,"Mon-Fri 7-3, Sat 7-noon","<a href = ""http://adairwp.clerkinfo.net/?page_id=553"">Click here to access their website</a>",Call the Recycling Center If you would like to take a tour.,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, ST CANS, WHITE, ONP, ESCRAP, MRP, RUB",13,Yes
8,Adair,Blankenship Recycling,Recycling centers,322 Parrott Avenue Columbia KY,270-634-4552,37.110648,-85.298147,N/A,N/A,Purchase scrap metal,"AL, FE, NONFE, ST CANS, WHITE",5,Yes
9,Adair,hwy 551 Scrap Metal,Recycling centers,249 Piercy Rod Columbia KY 42728,270-384-8914,37.166989,-85.26852,N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, WHITE, UO, MRP",8,Yes
10,Adair,Pyles Demolition Recycling,Recycling centers,221 Corporate Drive Columbia KY 42728,270-384-3478,37.077272,-85.33029,N/A,N/A,"Pyles Demolition Recycling provides dumpsters and services your recyling and waste management needs. Wrecking And Demolition Contractors, Excavation & Excavating Contractors","AL, FE, NONFE, OCC, UO, MRP",6,Yes
19,Bath,Steve and Sons Recycling,Recycling centers,"2839 S Hwy 211, Salt Lick, KY 40371",606-683-2057,38.1207983,-83.6174723,N/A,"<a href = ""https://steve-and-sons-recycling.business.site/#details"">Click here to access their website</a>",N/A,"AL, FE, NONFE, CATBAT,",4,Yes
31,Bell,Bell Co Recycling Center,Recycling centers,900 North 15th Street Middlesborro KY 40977,606-248-78161,36.618776,-83.708774,N/A,"<a href = ""https://bellcounty.ky.gov/services/Pages/default.aspx"">Click here to access their website</a>",Also accepts motor oil,"GL, AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP, RUB",14,Yes
32,Bell,Robbins Recycling,Recycling centers,"5424 US hwy 119 Calvin, KY 40813",606-337-3662,36.725703,-83.620638,N/A,"<a href = ""https://b-m.facebook.com/Robbinsrecycling1991/"">Click here to access their website</a>","Scrap metal dealer -- Robbins Recycling and we can turn your paper, plastic and metal into cash!","AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT",6,Yes
33,Bell,Tri K Recycling,Recycling centers,225 Old 25e Loop Middlesboro KY 40965,606-248-6909,36.681033,-83.6854847,N/A,N/A,"email - buellboysauto@gmail.com Tristate scrap metal of Middlesboro, KY is a full service recycling center offering top dollar for your copper, aluminum brass and stainless steel. Bring your electric motors, insulated wiring, Christmas lights, bikes, washers, dryers, lamps to our yard","AL, FE, NONFE, CARBAT, ST CANS, ESCRAP",6,Yes
50,Boyd,B F Iron & Metal Inc,Recycling centers,100 Joe Wells Rd Ashland KY 41102,304-638-2102,38.388599,-82.73224,N/A,N/A,"We Buy All Steel Products (Anything Magnetic) Cars, Tine Metal, Steel, Fences, Plates, I-Beams, And Much More. Anything A Magnet Can Stick To We Can Recycle","FE, NONFE, ST CANS",3,Yes
52,Boyd,Daniels Metals,Recycling centers,12030 Paul Coffey Blvd Ashland KY 41102,606-928-8033,38.452421,-82.613105,N/A,N/A,Purchase Scrap Metal Email: LRDtrucking@gmail.com,"AL, FE, NONFE, CARBAT",4,Yes
