OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,re_mat,re_num,MRP
7,Adair,Adair County Recycling,Recycling centers,64 Service Road Columbia KY 42728,270-378-0782,37.11653,-85.299465,"Mon-Fri 7-3, Sat 7-noon","<a href = ""http://adairwp.clerkinfo.net/?page_id=553"">Click here to access their website</a>",Call the Recycling Center If you would like to take a tour.,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, ST CANS, WHITE, ONP, ESCRAP, MRP, RUB",13,Yes
9,Adair,hwy 551 Scrap Metal,Recycling centers,249 Piercy Rod Columbia KY 42728,270-384-8914,37.166989,-85.26852,N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, WHITE, UO, MRP",8,Yes
10,Adair,Pyles Demolition Recycling,Recycling centers,221 Corporate Drive Columbia KY 42728,270-384-3478,37.077272,-85.33029,N/A,N/A,"Pyles Demolition Recycling provides dumpsters and services your recyling and waste management needs. Wrecking And Demolition Contractors, Excavation & Excavating Contractors","AL, FE, NONFE, OCC, UO, MRP",6,Yes
19,Bath,Steve and Sons Recycling,Recycling centers,"2839 S Hwy 211, Salt Lick, KY 40371",606-683-2057,38.1207983,-83.6174723,N/A,"<a href = ""https://steve-and-sons-recycling.business.site/#details"">Click here to access their website</a>",N/A,"AL, FE, NONFE, CATBAT,",4,Yes
31,Bell,Bell Co Recycling Center,Recycling centers,900 North 15th Street Middlesborro KY 40977,606-248-78161,36.618776,-83.708774,N/A,"<a href = ""https://bellcounty.ky.gov/services/Pages/default.aspx"">Click here to access their website</a>",Also accepts motor oil,"GL, AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP, RUB",14,Yes
51,Boyd,City of Ashland,Recycling centers,13th Street Bridge Ashland KY,606-327-2040,38.452421,-82.613105,"Tues 6am - 10am, Thurs-Fri 3pm - 7pm, Sat 8am - 4pm","<a href = ""http://ashlandky.gov/departments/public_works/solidw"">Click here to access their website</a>","The City of Ashland Kentucky is committed to protecting our environment and serving the community with our recycle program. The Ashland Recycling Center is located under the 13th Street Bridge. Effective September 27, 2018, the Ashland Recycling Center is open to City of Ashland residents only.  A city utility bill that includes a ""Garbage"" charge (along with a photo ID) OR a Kentucky Driver's License with an Ashland, KY address is required as proof of residency.","AL, PL( HDPE, PET), OCC, ST CANS, ONP, MRP",6,Yes
71,Breathitt,Breathitt County Recycling Center,Recycling centers,434 Hwy 1812 North Jackson KY 41339,606-666-3818,37.563845,-83.366139,N/A,"<a href = ""https://breathittcounty.ky.gov/Pages/departments.aspx"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",10,Yes
100,Casey,Casey County Road Dept,Recycling centers,1175 Campbellsville Street Liberty KY 42539,606-787-0703,37.32032,-84.947487,N/A,N/A,N/A,"GL, AL, FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, MRP, RUB",13,Yes
136,Clinton,Morrison Recycling & TS,Recycling centers,235 Transfer Station Road Albany KY 42602,606-387-9902,36.751328,-85.201057,Mon-Fri 7-4,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ONP, UO, MRP",9,Yes
145,Cumberland,Cumberland County Recycling Program,Recycling centers,"1805 South Main Street, Burkesville KY 42717",270-406-2707,36.770243,-85.359474,"Mon and Fri 7-3,  Tues and Thurs 7-11","<a href = ""https://cumberlandcounty.ky.gov/deptsagen/Pages/Re"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPSORT, ST CANS, ONP, ESCRAP, MRP, RUB",11,Yes
