OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,re_mat,re_num,GL,AL,PL,FE,NONFE,OCC,OPMIX,OPSPORT,ST CANS,ONP,UO,ESCRAP,MRP,RUB,CARBAT,WHITE,EGC,re_lib_serves,drop,broker,curb,other,process,handler,re_type
7,Adair,Adair County Recycling,Recycling centers,64 Service Road Columbia KY 42728,270-378-0782,37.11653,-85.299465,"Mon-Fri 7-3, Sat 7-noon","<a href = ""http://adairwp.clerkinfo.net/?page_id=553"">Click here to access their website</a>",Call the Recycling Center If you would like to take a tour.,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, ST CANS, WHITE, ONP, ESCRAP, MRP, RUB",13,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,"Dropoff, other",Yes,No,No,Yes,No,No,Government facility
31,Bell,Bell Co Recycling Center,Recycling centers,900 North 15th Street Middlesborro KY 40977,606-248-78161,36.618776,-83.708774,N/A,"<a href = ""https://bellcounty.ky.gov/services/Pages/default.aspx"">Click here to access their website</a>",Also accepts motor oil,"GL, AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP, RUB",14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Dropoff, curbside",Yes,No,Yes,No,No,No,Government facility
71,Breathitt,Breathitt County Recycling Center,Recycling centers,434 Hwy 1812 North Jackson KY 41339,606-666-3818,37.563845,-83.366139,N/A,"<a href = ""https://breathittcounty.ky.gov/Pages/departments.aspx"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",10,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Dropoff,Yes,No,No,No,No,No,Government facility
100,Casey,Casey County Road Dept,Recycling centers,1175 Campbellsville Street Liberty KY 42539,606-787-0703,37.32032,-84.947487,N/A,N/A,N/A,"GL, AL, FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, MRP, RUB",13,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Dropoff,Yes,No,No,No,No,No,Government facility
112,Clark,Winchester Municipal Utilities Recycling Center,Recycling centers,150 Maple Street Winchester KY 40391,859-744-1170,37.997074,-84.176483,24/7,"<a href = ""http://www.wmutilities.com/Views/public/Content.aspx?"">Click here to access their website</a>","WMU Voluntary Recycling Center at 175 N. Maple Street is open 24 hours per day, 7 days per week. The recycling center is located behind WMU's Main Office at 150 N. Main Street; however, it is only accessible from the WMU N. Maple Street entrance. Any questions please call 859-744-1170","GL, AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, WHITE, ONP, ESCRAP",9,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,"Dropoff, curbside",Yes,No,Yes,No,No,No,Government facility
135,Clinton,Clinton County Recycling Center,Recycling centers,136 Clinton Street Albany KY 42602,606-688-2746,36.687488,-85.129532,N/A,"<a href = ""https://clintoncounty.ky.gov/Pages/default.aspx"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPSORT, ONP",8,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,"Dropoff, curbside",Yes,No,Yes,No,No,No,Government facility
136,Clinton,Morrison Recycling & TS,Recycling centers,235 Transfer Station Road Albany KY 42602,606-387-9902,36.751328,-85.201057,Mon-Fri 7-4,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ONP, UO, MRP",9,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,"Process, dropoff",Yes,No,No,No,Yes,No,Commercial recycler
165,Estill,Advanced Disposal,Recycling centers,2700 Winchester Rd Irvine KY 40336,606-723-5552,37.737238,-83.984627,N/A,"<a href = ""https://www.advanceddisposal.com/for-home.aspx"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OPMIX, ST CANS, ONP, MRP",7,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,curbside,No,No,Yes,No,No,No,commercial recycler
168,Estill,Estill County Recycling Center,Recycling centers,532 Kirkland Ave Irvine KY 40336,606-723-5580,37.682957,-83.957684,Mon-Thurs 7-5:30,"<a href = ""http://estillky.com/index.php/estill-road-department-rec"">Click here to access their website</a>",Containers should be rinsed and lids removed.,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, ESCRAP, MRP",11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,"Dropoff, curbside",Yes,No,Yes,No,No,No,Government facility
179,Fleming,Flemingsburg City Maintenance Garage,Recycling centers,140 West Electric Ave Flemingsburg KY 41041,606-845-9307,38.422285,-83.735947,N/A,"<a href = ""http://www.flemingcountyky.us/road.asp"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, WHITE, ONP, MRP",8,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,"Dropoff, curbside",Yes,No,Yes,No,No,No,Government facility
