OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,re_mat,re_num,re_lib_serves,handler
32,Bell,Robbins Recycling,Recycling centers,"5424 US hwy 119 Calvin, KY 40813",606-337-3662,36.725703,-83.620638,N/A,"<a href = ""https://b-m.facebook.com/Robbinsrecycling1991/"">Click here to access their website</a>","Scrap metal dealer -- Robbins Recycling and we can turn your paper, plastic and metal into cash!","AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT",6,"Handler, dropoff, broker",Yes
85,Carter,Hall Brothers Recycling,Recycling centers,1897 E. Midland Trail Grayson KY 41143,606-474-5205,38.335073,-82.898503,N/A,N/A,Scrap metal dealer,"AL, FE, NONFE, CARBAT",4,"Handler, dropoff, broker",Yes
110,Clark,Stuff Recycling,Recycling centers,6169 Lexington Ave Winchester KY 40391,859-745-7882,38.028928,-84.278781,N/A,"<a href = ""http://www.stuffrecycling.com/"">Click here to access their website</a>","Bring your ferrous scrap (metal that sticks to a magnet like iron, steel or an automobile) or nonferrous scrap (like aluminum, copper, brass, and wire) and get paid in cash.","AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,"Handler, dropoff, broker",Yes
166,Estill,C & S Re Cycling,Recycling centers,5565 Richmond Rd Irvine KY 40336,606-723-9101,37.701965,-84.064336,N/A,N/A,Scrap Metal Dealer,"AL, NONFE, ST CANS",3,"Dropoff, broker",Yes
167,Estill,Cox Recycling,Recycling centers,485 McKee Road Irvine KY 40336,606-599-7793,37.701965,-84.064336,N/A,N/A,"We purchase all ferrous materials copper, aluminum, etc, all non magnetic metals. We purchase all non ferrous materials which includes appliances, and any other magnetic metals. We specialize in escrap, (computer equipment, electronic and all there components.","AL, FE, NONFE, ST CANS, ESCRAP",5,"Dropoff, broker",Yes
196,Floyd,The Mountain Metal Company,Recycling centers,35 Depot Road Prestonsburg KY 41653,606-886-2102,37.672113,-82.781642,"Mon-Fri 8-4, Sat 8-11:30am","<a href = ""http://mountainmetalr.com/home.html"">Click here to access their website</a>",N/A,"AL, FE, NONFE, CARBAT",4,"Handler, Process, Dropoff, Broker",Yes
212,Garrard,Lancaster-Garrard Co. Recycling,Recycling centers,400 South Campbell St Lancaster KY 40444,859-792-1868,37.614201,-84.578106,"Mon-Fri 9-5, Sat 9-4","<a href = ""http://garrardcounty.us/index.php/solid-waste-recycling"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ST CANS, ONP, ESCRAP",9,"Handler, Process, Dropoff, curbside",Yes
244,Harlan,Baxter Metal Co,Recycling centers,44 Yard Loop Baxter KY 40806,606-573-3200,36.875642,-83.300258,N/A,"<a href = ""https://www.facebook.com/pages/category/Business-S"">Click here to access their website</a>",N/A,"AL, FE, NONFE, ST CANS, WHITE",5,"HANDLER, DROPOFF, BROKER",Yes
245,Harlan,Harlan County Recycling,Recycling centers,15 S. Highway 413 Baxter KY 40806,606-573-9423,36.875642,-83.300258,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, ST CANS, WHITE, ONP, ESCRAP, MRP, RUB",12,"Handler, process, dropoff, curbside",Yes
281,Johnson,Apple Valley Sanitation,Recycling centers,4890 US 23 Hager Hill KY 41222,606-789-5980,37.77646,-82.792538,"Mon-Fri 7-3:30, Sat 7:30-11:30","<a href = ""https://www.facebook.com/pages/Apple-Valley-Sanitati"">Click here to access their website</a>",Also accepts used motor oil.,"FE, NONFE, OCC, WHITE, UO, RUB",6,"Handler, dropoff",Yes
331,Laurel,London Regional Recycle Facility,Recycling centers,950 TLC Lane London KY 40741,606-864-5521,37.120108,-84.056849,24/7,"<a href = ""https://www.londonky.gov/departments/recycling-progr"">Click here to access their website</a>","We are working hard to accommodate all of your recycling needs.  If you have any questions, feel free to contact us anytime at 606-864-5521. coflsaedge@gmail.com Curbside recycling available for the city of London.","GL, AL, PL( HDPE, PET, PS, PP, PVC, LDPE, OTHER), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP, EGC",16,"Handler, process, dropoff, curbside",Yes
346,Lawrence,Boyd's Scrapyard AKA TB Recycling,Recycling centers,20857 US HWY 23 N Louisa KY 41230,606-686-1108,38.158604,-82.644263,N/A,"<a href = ""https://www.facebook.com/Boydsautorecycling/"">Click here to access their website</a>",N/A,"AL, FE, NONFE",3,"Handler, process, dropoff",Yes
347,Lawrence,Lawrence County Recycling Center,Recycling centers,175 Business Way Louisa KY 41230,606-638-4102,38.097194,-82.620389,N/A,"<a href = ""http://lawrencekentucky.com/category/recycle-center/"">Click here to access their website</a>","Markets to: Lexington area. &nbsp;2 Marathon hy-press vertical balers, 20/ton, 230 volt, forklift, van. Email: josborne@lycomonline.com","AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",8,"Handler, Process, Dropoff",Yes
380,Letcher,Baker's Scrap Metal and Recycling,Recycling centers,68 Ray Baker Hollow Thornton KY 41855,606-632-0007,37.1848025,-82.7780985,N/A,N/A,"Bakers Scrap Metal & Recycling is located in Thornton, Kentucky. This organization primarily operates in the Scrap and Waste Materials business","AL, FE, NONFE, ST CANS",4,"Handler, process, dropoff, broker",Yes
381,Letcher,City of Whitesburg Recycling Center,Recycling centers,1447 HWY 931 South Whitesburg KY 41858,606-632-2267,37.135746,-82.823932,"Mon - Fri 7:30-4, Sat 7:30-12:30.","<a href = ""https://www.facebook.com/pg/CityofWhitesburgRecycl"">Click here to access their website</a>","Market to: Northern KY, Lexington area. Equipment: 4 balers, 3 work, forklift/bobcat, paper shredder, spine cutter, 2 belt lines.","AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, MRP",9,"Handler, curbside",Yes
396,Lewis,Vanceburg Recycling,Recycling centers,90 River Street Vanceburg KY 41179,606-796-6003,38.604004,-83.323793,N/A,"<a href = ""http://www.cityofvanceburg.com/publicworks"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET, OTHER), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, ESCRAP",11,"Handler, Dropoff, Curbside",Yes
397,Lewis,Watson Salvage Yard,Recycling centers,607 Kilbreth Lane Vanceburg KY 41179,606-796-9197,38.457481,-83.502931,N/A,N/A,Salvage and scrap metal dealer,"AL, FE, NONFE, CARBAT, ST CANS, UO",6,"Handler, Dropoff, Broker",Yes
406,Lincoln,Eastern Kentucky Recycling,Recycling centers,367 Phillips Lane Junction City KY 40440,606-355-2322,37.569151,-84.806915,Mon-Fri 8-4,"<a href = ""www.easternkentuckyrecycling.com"">Click here to access their website</a>",N/A,"FE, NONFE",2,"Handler, process, dropoff, broker",Yes
407,Lincoln,Eastern Kentucky Recycling,Recycling centers,345 Main Street Crab Orchard KY 40419,606-355-2322,37.455776,-84.501521,Mon-Fri 8-4,"<a href = ""www.easternkentuckyrecycling.com"">Click here to access their website</a>",N/A,"AL, FE, NONFE, ST CANS",4,"Handler, process, dropoff, broker",Yes
408,Lincoln,Lincoln Co. Recycling Center,Recycling centers,553 KY HWY 698 Stanford KY 40484,606-365-9779,37.4995,-84.656397,N/A,"<a href = ""http://www.lincolnky.com/departments/solid_waste.php"">Click here to access their website</a>","Also accept old magazines-residential mix. Market to: cardboard, mixed bales - Rumpke, e waste - E-cyclers, Scrap metal, cans - Eastern, KY","AL, PL( HDPE, PET), FE, OCC, OPMIX, ST CANS, WHITE, ONP",8,"Handler, process, dropoff, curbside",Yes
427,Madison,Berea College,Recycling centers,310 N. Main Street,859-985-3844,37.576206,-84.289259,N/A,N/A,FOR BEREA COLLEGE STAFFAND STUDENTS ONLY. DROP-OFF BINS AT MANY CAMPUS LOCATIONS. ALSO ACCEPTS MAGAZINES,"GL, AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP",8,"Handler, dropoff",Yes
428,Madison,Bluegrass Reg. Recycle Corp (BRRC),Recycling centers,540 Recycle Drive Richmond KY 40475,859-626-9117,37.727307,-84.289143,N/A,"<a href = ""http://www.thebrrc.com/"">Click here to access their website</a>","The BRRC is a 501-C-3 organization located in Richmond, Kentucky.  BRRC is dedicated to training and educating the general public and government entities.  The BRRC is also committed to developing workable recycling systems throughout Kentucky and the Nation.","PL( HDPE), OCC, MRP",3,"Handler, Process, Dropoff",Yes
431,Madison,Richmond Scrap Iron & Metal,Recycling centers,1209 Berea Road Richmond KY 40475,859-623-6226,37.752523,-84.2878,N/A,"<a href = ""https://richmond-scrap-iron-metal-inc.business.site/"">Click here to access their website</a>","Our operations include complete shredding, shearing and sorting facilities, baling, torching and auto crushing, as well as automobile and appliance decommissioning. Our operations include a complete fleet of trucks, containers and trailers, any size or type recycling container your operation may need.","AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,"Handler, process, dropoff, broker",Yes
533,Perry,Dixie Recycling,Recycling centers,2647 N. Main Street Hazard KY 41701,606-435-0287,37.270296,-83.189297,Mon-Fri 9-4,"<a href = ""https://www.facebook.com/pages/category/Community/"">Click here to access their website</a>",Call for material requirements. Formerly Zip Recycling,"AL, FE, NONFE, CARBAT",4,"Handler, process, dropoff, broker",Yes
534,Perry,Hazard Recycling AKA Gorman Hollow,Recycling centers,105 Gorman Hollow Road Hazard KY 41701,606-439-1863,37.240819,-83.198651,Mon-Fri 7-4,N/A,Also accept magazines and paperback books.,"GL, AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP",7,"Handler, dropoff",Yes
616,Pulaski,"Somerset Recycling Services, Inc",Recycling centers,1 Recycle Way Somerset KY 42502,606-274-4170,37.092129,-84.623936,Mon-Fri 7-9,"<a href = ""http://www.somerset-recycling.com/"">Click here to access their website</a>",Shipping hours Mon-Fri. 7:00-4:00.,"PL( HDPE, PET, PS, PP, PVC, LDPE, OTHER), OCC",2,"Handler, process, dropoff, broker",Yes
652,Rowan,Caudill's Recycling,Recycling centers,11445 Cranston Rd Morehead KY 40351,606-784-4077,38.338585,-83.404845,"Mon-Fri. 8-5, Sat. 8-1",N/A,"Call for material requirements. Must separate all items. Accepts alternators, starters, transmissions (pan and fluid must be removed.)","AL, FE, NONFE, CARBAT, ST CANS",5,"Handler, dropoff, broker",Yes
654,Rowan,Morehead Rowan Community Recycling Center,Recycling centers,325 Triplett Street Morehead KY 40351,606-784-1250,38.230298,-83.460379,"Mon-Fri 8:30-4:30, Sat 9:30-1:30","<a href = ""https://moreheadrecycling.org/"">Click here to access their website</a>","Also accepts grocery bags, shrink-wrap, magazines, books, and paperboard.","GL, AL, PL( HDPE, PET, PP, LDPE), OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",11,"Handler, process, dropoff",Yes
687,Wayne,T&B Recycling AKA Ironman Recycling,Recycling centers,HWY 90 W Monticello KY 42633,606-340-8198,36.8055488,-84.9089638,"Mon-Fri 8-4:30, Sat 8-11",N/A,N/A,"FE, NONFE",2,"Handler, process, dropoff",Yes
704,Whitley,Cedar Ridge Ministries Recycling,Recycling centers,537 South 10th Street Williamsburg KY 40769,606-549-1372,36.7682174,-84.1595885,"Mon, Tues, Thurs, Fri 9-3","<a href = ""http://www.cedaridgeministries.org/recycling-services/"">Click here to access their website</a>",ALSO ACCEPTS MAGAZINES,"AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP",6,"Handler, dropoff",Yes
705,Whitley,City of Corbin Recycling,Recycling centers,701 Main Street Corbin KY 40701,606-523-6532,36.942802,-84.094468,Mon-Fri 7 -3:30,"<a href = ""https://corbin-ky.gov/corbin-recycling/"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP",7,"Handler, dropoff",Yes
706,Whitley,Eastern Kentucky Recycling,Recycling centers,300 Savoy-Clear Creek Road Williamsburg KY 40769,606-355-2322,36.722724,-84.156011,Mon-Fri 8-4,"<a href = ""hwww.easternkentuckyrecycling.com"">Click here to access their website</a>",N/A,"FE, NONFE",2,"Handler, process, dropoff",Yes
707,Whitley,Ellis Sanitation,Recycling centers,2141 Craig Road Williamsburg KY 40769,505-549-0483,36.813291,-84.276914,Mon-Fri 8-8,N/A,N/A,"FE, OCC, ST CANS",3,"Handler, process, dropoff",Yes
