OBJECTID,county,name,sector,type,address,phone,y,x,hours,website
11,Adair,Adair Child Support Office,Social services,Families,"424 Public Square # 24, Columbia, KY 42728",270-384-5932,37.103464,-85.306293,Mon-Fri 7-4,"<a href = ""https://csws.chfs.ky.gov/csws/General/Landing.aspx"">Click here to access their website</a>"
12,Adair,Lake Cumberland Community Services,Social services,Community,"23 Industry Drive Jamestown, KY 42629",270-384-2147,37.003971,-85.074532,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/"">Click here to access their website</a>"
13,Adair,Human Resources Department,Social services,Community,"703 Jamestown St, Columbia, KY 42728",270-384-2163,36.984969,-85.062536,Mon-Fri 8-4:30,"<a href = ""https://kentucky.gov/Pages/home.aspx"">Click here to access their website</a>"
14,Adair,Kentucky Career Center,Social services,Careers,"969 Campbellsville Road Columbia, KY 42728",270-384-1741,37.114457,-85.300718,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
20,Bath,Christian Social Services,Social services,Families,"44 Coyle St, Owingsville, KY 40360",606-674-6906,38.143721,-83.764684,Tues-Fri 9:30-4:30,"<a href = ""https://www.facebook.com/Christian-Social-Service-Center-Inc-252034821481803/"">Click here to access their website</a>"
34,Bell,Social Service Department,Social services,Families,"211 Kentucky Ave, Pineville, KY 40977",606-337-6171,36.761666,-83.695549,Mon-Fri 8-5,"<a href = ""https://www.dcfoffices.org/office/ky_40977_bell-county-department-of-children-and-Families-services"">Click here to access their website</a>"
35,Bell,Bell County WIC Program,Social services,Families,"111 21st St, Middlesboro, KY 40965",606-248-2862,36.607499,-83.71565,Mon-Fri 9-5,"<a href = ""https://wicprogram.us/wic-program-provider/bell_county_health_department_wic_middlesboro_middlesboro_ky"">Click here to access their website</a>"
36,Bell,US Social Security Administration,Social services,Families,"10 SE Tech Dr, Middlesboro, KY 40965",800-772-1213,36.614427,-83.734961,Mon-Fri 9-4,"<a href = ""https://www.ssa.gov/"">Click here to access their website</a>"
37,Bell,Southeast Community and Technical College Middlesboro Campus Unemployment Office,Social services,Careers,"100 College Rd. Middlesboro, KY, 40965",606-248-0768,36.6102713,-83.7348372,Mon-Fri 8-4:30,"<a href = ""https://www.unemploymentoffice.org/southeast-kentucky-Community-and-technical-college-middlesboro-campus-kentucky"">Click here to access their website</a>"
56,Boyd,Social Security Administration,Social services,Families,"1405 Greenup Ave #132, Ashland, KY 41101",800-772-1213,38.480667,-82.640184,Mon-Fri 9-4,"<a href = ""https://www.ssa.gov/"">Click here to access their website</a>"
57,Boyd,Social Services Department,Social services,Families,"1539 Greenup Ave, Ashland, KY 41101",606-920-2007,38.480044,-82.638912,Mon-Fri 8-5,"<a href = ""https://www.dcfoffices.org/office/ky_41105_byod-county-social-services-office"">Click here to access their website</a>"
58,Boyd,Cares,Social services,Community,"2516 Carter Ave, Ashland, KY 41101
",606-324-2949,38.471565,-82.628701,"Mon-Fri 10-5:30, closed daily 3:30-4:30","<a href = ""https://boydcountycares.org/"">Click here to access their website</a>"
59,Boyd,United Way - NE KY,Social services,Community,"2000 Carter Ave suite d, Ashland, KY 41101",606-325-1810,38.475078,-82.635601,Mon-Fri 8-4,"<a href = ""https://www.uwnek.org/"">Click here to access their website</a>"
60,Boyd,Habitat for Humanity,Social services,Community,"1544 Winchester Ave, Ashland, KY 41101",606-324-1325,38.478611,-82.639936,,"<a href = ""https://www.habitat.org/"">Click here to access their website</a>"
61,Boyd,Kentucky Career Center,Social services,Careers,"1844 Carter Ave. Ashland, KY 41101",606-920-2024,38.4761277,-82.6371549,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
72,Breathitt,Social Security Administration,Social services,Families,"850 KY-15 N, Jackson, KY 41339",800-772-1213,37.56113,-83.396343,Mon-Fri 9-4,"<a href = ""https://www.ssa.gov/"">Click here to access their website</a>"
73,Breathitt,Health & Family Services,Social services,Families,"1041 College Ave, Jackson, KY 41339",606-666-7506,37.554662,-83.3818,N/A,"<a href = ""https://chfs.ky.gov/Pages/index.aspx"">Click here to access their website</a>"
74,Breathitt,Middle KY Community Action,Social services,Community,"171 Howell Heights Jackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,"<a href = ""https://www.mkcap.org/index.html"">Click here to access their website</a>"
75,Breathitt,Middle KY Community Action Local Office,Social services,Community,"1137 Main Street, Suite 105 ackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,"<a href = ""https://www.mkcap.org/index.html"">Click here to access their website</a>"
76,Breathitt,Interfaith of Breathitt County,Social services,Community,"1148 Main St, Jackson, KY 41339",606-666-7760,37.554164,-83.38383,Mon-Thurs 9-1,"<a href = ""https://www.facebook.com/InterfaithBC/"">Click here to access their website</a>"
77,Breathitt,Kentucky Career Center,Social services,Careers,"500 Brown Street Jackson , KY 41339",606-666-2369,37.553626,-83.383426,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
86,Carter,Child Support,Social services,Families,"300 W Main St #301 Grayson, KY 41143",855-306-8959,38.333436,-82.9517,Mon-Fri 8-4:30,"<a href = ""https://csws.chfs.ky.gov/csws/General/Landing.aspx"">Click here to access their website</a>"
87,Carter,Northeast KY Community Action,Social services,Community,"539 Hitchins Ave, Olive Hill, KY 41164",606-286-4443,38.298809,-83.18657,N/A,"<a href = ""http://nkcaa.net/"">Click here to access their website</a>"
88,Carter,Child Support,Social services,Families,300 W Main St Grayson KY 41143,606-474-8989,38.333436,-82.9517,Mon-Fri 8-4:30,"<a href = ""https://csws.chfs.ky.gov/csws/General/Landing.aspx"">Click here to access their website</a>"
89,Carter,Cabinet for Families & Children,Social services,Families,"873 E. Midland Trail Grayson, KY - 41143",606-474-8989,38.341894,-82.932203,Mon-Fri 8-4:30,"<a href = ""https://www.dcfoffices.org/office/ky_41143_carter-county-dcf-office"">Click here to access their website</a>"
90,Carter,"Bethany House Christian Service Center, Inc.",Social services,Community,"106 Hillside St, Olive Hill, KY 41164",606-286-5045,38.298448,-83.174446,N/A,"<a href = ""https://www.facebook.com/BETHANYHOUSECSC"">Click here to access their website</a>"
91,Carter,Kentucky Career Center,Social services,Careers,"1758 E. Midland Trail Grayson, KY 41171",606-474-2412,38.333993,-82.905201,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
