OBJECTID,county,name,sector,type,address,phone,y,x,hours,website
14,Adair,Kentucky Career Center,Social services,Careers,"969 Campbellsville Road Columbia, KY 42728",270-384-1741,37.114457,-85.300718,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
37,Bell,Southeast Community and Technical College Middlesboro Campus Unemployment Office,Social services,Careers,"100 College Rd. Middlesboro, KY, 40965",606-248-0768,36.6102713,-83.7348372,Mon-Fri 8-4:30,"<a href = ""https://www.unemploymentoffice.org/southeast-kentucky-Community-and-technical-college-middlesboro-campus-kentucky"">Click here to access their website</a>"
61,Boyd,Kentucky Career Center,Social services,Careers,"1844 Carter Ave. Ashland, KY 41101",606-920-2024,38.4761277,-82.6371549,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
77,Breathitt,Kentucky Career Center,Social services,Careers,"500 Brown Street Jackson , KY 41339",606-666-2369,37.553626,-83.383426,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
91,Carter,Kentucky Career Center,Social services,Careers,"1758 E. Midland Trail Grayson, KY 41171",606-474-2412,38.333993,-82.905201,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
101,Casey,Kentucky Career Center,Social services,Careers,"1 Pettyjohn Street Liberty, KY 42539",606-787-1405,37.316506,-84.940152,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
139,Clinton,Kentucky Career Center,Social services,Careers,"2353 North Highway 127 Albany, KY 42602",606-387-8082,36.718607,-85.13557,"Mon-Wed 8-4, Fri 8-4","<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
151,Cumberland,Kentucky Career Center,Social services,Careers,"213 Upper Street Burkesville, KY 42717",270-864-9316,36.789241,-85.368685,Wed-Thurs 8-3:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
202,Floyd,Kentucky Career Center,Social services,Careers,"686 N. Lake Drive Prestonsburg, KY 41653",606-889-1772,37.675618,-82.778148,"Mon-Wed 8-5, Thurs 8-4:30, Fri 8-noon","<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
203,Floyd,Big Sandy Area Community Action Program,Social services,Careers,"60 Court St. Allen, KY 41601",606-874-2420,37.615253,-82.721914,Mon-Fri 8-4:30,"<a href = ""bsacap.org"">Click here to access their website</a>"
222,Green,Kentucky Career Center,Social services,Careers,"113 North Main Street Greensburg, KY 42743",270-932-5936,37.261721,-85.501663,Wed-Thurs 8-3:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
251,Harlan,KIH Harlan Career Center,Social services,Careers,"124 S Cumberland Ave, Harlan, KY 40831",606-574-1020,36.845976,-83.324094,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
253,Harlan,Community & Business Development Center,Social services,Careers,"700 College Rd. Cumberland, KY 40823",606-589-2145,36.968213,-82.997427,Mon-Fri 8-4:30,N/A
285,Johnson,Kentucky Career Center,Social services,Careers,"230 Court St. Paintsville, KY 41240",606-789-3641,37.814502,-82.806791,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
286,Johnson,Kentucky Career Center,Social services,Careers,"5659 Main St. Paintsville, KY 41260",606-788-7080,37.821737,-82.768007,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
301,Knott,Kentucky Career Center,Social services,Careers,"1622 Hwy 160 S Hindman, KY 41822",606-785-3322,37.322365,-82.96534,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
