OBJECTID,county,name,sector,type,address,phone,y,x,hours,website
12,Adair,Lake Cumberland Community Services,Social services,Community,"23 Industry Drive Jamestown, KY 42629",270-384-2147,37.003971,-85.074532,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/"">Click here to access their website</a>"
13,Adair,Human Resources Department,Social services,Community,"703 Jamestown St, Columbia, KY 42728",270-384-2163,36.984969,-85.062536,Mon-Fri 8-4:30,"<a href = ""https://kentucky.gov/Pages/home.aspx"">Click here to access their website</a>"
58,Boyd,Cares,Social services,Community,"2516 Carter Ave, Ashland, KY 41101
",606-324-2949,38.471565,-82.628701,"Mon-Fri 10-5:30, closed daily 3:30-4:30","<a href = ""https://boydcountycares.org/"">Click here to access their website</a>"
59,Boyd,United Way - NE KY,Social services,Community,"2000 Carter Ave suite d, Ashland, KY 41101",606-325-1810,38.475078,-82.635601,Mon-Fri 8-4,"<a href = ""https://www.uwnek.org/"">Click here to access their website</a>"
60,Boyd,Habitat for Humanity,Social services,Community,"1544 Winchester Ave, Ashland, KY 41101",606-324-1325,38.478611,-82.639936,,"<a href = ""https://www.habitat.org/"">Click here to access their website</a>"
74,Breathitt,Middle KY Community Action,Social services,Community,"171 Howell Heights Jackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,"<a href = ""https://www.mkcap.org/index.html"">Click here to access their website</a>"
75,Breathitt,Middle KY Community Action Local Office,Social services,Community,"1137 Main Street, Suite 105 ackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,"<a href = ""https://www.mkcap.org/index.html"">Click here to access their website</a>"
76,Breathitt,Interfaith of Breathitt County,Social services,Community,"1148 Main St, Jackson, KY 41339",606-666-7760,37.554164,-83.38383,Mon-Thurs 9-1,"<a href = ""https://www.facebook.com/InterfaithBC/"">Click here to access their website</a>"
87,Carter,Northeast KY Community Action,Social services,Community,"539 Hitchins Ave, Olive Hill, KY 41164",606-286-4443,38.298809,-83.18657,N/A,"<a href = ""http://nkcaa.net/"">Click here to access their website</a>"
90,Carter,"Bethany House Christian Service Center, Inc.",Social services,Community,"106 Hillside St, Olive Hill, KY 41164",606-286-5045,38.298448,-83.174446,N/A,"<a href = ""https://www.facebook.com/BETHANYHOUSECSC"">Click here to access their website</a>"
113,Clark,Clark County Community Services,Social services,Community,"30 Taylor Ave, Winchester, KY 40391",859-744-5034,37.995868,-84.184881,Mon-Fri 9-2,"<a href = ""http://www.clarkcountyCommunityservices.org/"">Click here to access their website</a>"
115,Clark,Evergreen Community Support,Social services,Community,"11 S Highland St, Winchester, KY 40391, USA",859-745-0111,37.992306,-84.17525,Mon-Fri 9-5,"<a href = ""https://www.facebook.com/evergreenCommunitysupports/"">Click here to access their website</a>"
116,Clark,National Youth Advocate Program,Social services,Community,"104 W Broadway St, Winchester, KY 40391",859-385-4669,37.994025,-84.179014,Mon-Fri 8-4:30,"<a href = ""https://www.nyap.org/nyap-locations/kentucky.html"">Click here to access their website</a>"
129,Clay,Daniel Boone Community Action Agency,Social services,Community,"33 Marcum Hill Rd, Manchester, KY 40962",606-598-5127,37.155536,-83.759203,Mon-Fri 8-4:30,"<a href = ""http://danielboonecaa.org/"">Click here to access their website</a>"
138,Clinton,Lake Cumberland Community Action,Social services,Community,"110 Spring St # A, Albany, KY 42602",606-387-5880,36.6894582,-85.1345326,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/"">Click here to access their website</a>"
147,Cumberland,Social Service Department,Social services,Community,"232 Keen St, Burkesville, KY 42717",270-864-3834,36.782962,-85.372177,Mon-Fri 8-4:30,"<a href = ""https://www.lcdhd.org/"">Click here to access their website</a>"
149,Cumberland,Lake Cumberland Community Action,Social services,Community,"Courthouse, Burkesville, KY 42717",270-864-4386,36.790142,-85.370545,Mon-Fri 8-4:30,"<a href = ""http://www.lc-caa.org/index.php"">Click here to access their website</a>"
