OBJECTID,county,name,sector,type,address,phone,y,x,hours,website
11,Adair,Adair Child Support Office,Social services,Families,"424 Public Square # 24, Columbia, KY 42728",270-384-5932,37.103464,-85.306293,Mon-Fri 7-4,"<a href = ""https://csws.chfs.ky.gov/csws/General/Landing.aspx"">Click here to access their website</a>"
20,Bath,Christian Social Services,Social services,Families,"44 Coyle St, Owingsville, KY 40360",606-674-6906,38.143721,-83.764684,Tues-Fri 9:30-4:30,"<a href = ""https://www.facebook.com/Christian-Social-Service-Center-Inc-252034821481803/"">Click here to access their website</a>"
34,Bell,Social Service Department,Social services,Families,"211 Kentucky Ave, Pineville, KY 40977",606-337-6171,36.761666,-83.695549,Mon-Fri 8-5,"<a href = ""https://www.dcfoffices.org/office/ky_40977_bell-county-department-of-children-and-Families-services"">Click here to access their website</a>"
35,Bell,Bell County WIC Program,Social services,Families,"111 21st St, Middlesboro, KY 40965",606-248-2862,36.607499,-83.71565,Mon-Fri 9-5,"<a href = ""https://wicprogram.us/wic-program-provider/bell_county_health_department_wic_middlesboro_middlesboro_ky"">Click here to access their website</a>"
36,Bell,US Social Security Administration,Social services,Families,"10 SE Tech Dr, Middlesboro, KY 40965",800-772-1213,36.614427,-83.734961,Mon-Fri 9-4,"<a href = ""https://www.ssa.gov/"">Click here to access their website</a>"
37,Bell,Southeast Community and Technical College Middlesboro Campus Unemployment Office,Social services,Careers,"100 College Rd. Middlesboro, KY, 40965",606-248-0768,36.6102713,-83.7348372,Mon-Fri 8-4:30,"<a href = ""https://www.unemploymentoffice.org/southeast-kentucky-Community-and-technical-college-middlesboro-campus-kentucky"">Click here to access their website</a>"
56,Boyd,Social Security Administration,Social services,Families,"1405 Greenup Ave #132, Ashland, KY 41101",800-772-1213,38.480667,-82.640184,Mon-Fri 9-4,"<a href = ""https://www.ssa.gov/"">Click here to access their website</a>"
57,Boyd,Social Services Department,Social services,Families,"1539 Greenup Ave, Ashland, KY 41101",606-920-2007,38.480044,-82.638912,Mon-Fri 8-5,"<a href = ""https://www.dcfoffices.org/office/ky_41105_byod-county-social-services-office"">Click here to access their website</a>"
72,Breathitt,Social Security Administration,Social services,Families,"850 KY-15 N, Jackson, KY 41339",800-772-1213,37.56113,-83.396343,Mon-Fri 9-4,"<a href = ""https://www.ssa.gov/"">Click here to access their website</a>"
73,Breathitt,Health & Family Services,Social services,Families,"1041 College Ave, Jackson, KY 41339",606-666-7506,37.554662,-83.3818,N/A,"<a href = ""https://chfs.ky.gov/Pages/index.aspx"">Click here to access their website</a>"
86,Carter,Child Support,Social services,Families,"300 W Main St #301 Grayson, KY 41143",855-306-8959,38.333436,-82.9517,Mon-Fri 8-4:30,"<a href = ""https://csws.chfs.ky.gov/csws/General/Landing.aspx"">Click here to access their website</a>"
