AREA,CNTY_NAME,x,y
0.09788,Bell,-84,37
0.112327,McCreary,-84,37
0.054531,Clinton,-85,37
0.08096,Cumberland,-85,37
0.12754,Harlan,-83,37
0.100624,Knox,-84,37
0.116025,Whitley,-84,37
0.125042,Wayne,-85,37
0.105359,Adair,-85,37
0.10545,Leslie,-83,37
0.074007,Russell,-85,37
0.091924,Letcher,-83,37
0.183086,Pulaski,-85,37
0.090191,Perry,-83,37
0.117569,Laurel,-84,37
0.124173,Clay,-84,37
0.082947,Rockcastle,-84,37
0.052175,Owsley,-84,37
0.076068,Green,-86,37
0.09154,Knott,-83,37
0.087,Lincoln,-85,37
0.131762,Breathitt,-83,38
0.116239,Casey,-85,37
0.091661,Jackson,-84,37
0.104987,Floyd,-83,38
0.062305,Garrard,-85,38
0.056043,Lee,-84,38
0.212504,Pike,-82,37
0.081714,Magoffin,-83,38
0.115421,Madison,-84,38
0.068027,Estill,-84,38
0.05935,Wolfe,-83,38
0.069345,Johnson,-83,38
0.056075,Menifee,-84,38
0.048519,Powell,-84,38
0.061138,Martin,-83,38
0.053712,Montgomery,-84,38
0.061272,Elliott,-83,38
0.067487,Clark,-84,38
0.104693,Morgan,-83,38
0.078476,Rowan,-83,38
0.042527,Boyd,-83,38
0.111894,Lawrence,-83,38
0.075635,Bath,-84,38
0.125035,Lewis,-83,39
0.091342,Greenup,-83,39
0.109487,Carter,-83,38
0.095816,Fleming,-84,38
